[20:12:34] GPU 运行库目录: ['C:\\Users\\94300\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\nvidia\\cublas\\bin', 'C:\\Users\\94300\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\nvidia\\cuda_nvrtc\\bin', 'C:\\Users\\94300\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\nvidia\\cuda_runtime\\bin', 'C:\\Users\\94300\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\nvidia\\cudnn\\bin']
[20:12:34] 扫描文件夹: F:\Project\Life
[20:12:34] 共发现 499 个音视频文件
[20:12:34] 首次运行会下载模型，请耐心等待……
[20:12:40] 实际使用：模型 small  设备 cuda (float16)
[20:12:40] [1/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\1.两x底层逻辑，吸引力的内核_.mp4
[20:13:15]     完成（用时 35s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\1.两x底层逻辑，吸引力的内核_.txt
[20:13:15] [2/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\10.评估_.mp4
[20:14:09]     完成（用时 54s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\10.评估_.txt
[20:14:09] [3/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\11.废物测试_.mp4
[20:14:32]     完成（用时 23s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\11.废物测试_.txt
[20:14:32] [4/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\12.叙事_.mov
[20:14:55]     完成（用时 23s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\12.叙事_.txt
[20:14:55] [5/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\13.收尾.mov
[20:15:26]     完成（用时 31s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\13.收尾.txt
[20:15:26] [6/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\14.开场白_.mov
[20:15:51]     完成（用时 25s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\14.开场白_.txt
[20:15:51] [7/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\15.前提_.mov
[20:16:36]     完成（用时 45s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\15.前提_.txt
[20:16:36] [8/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\16.如何让女生倒追你_.mov
[20:17:10]     完成（用时 34s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\16.如何让女生倒追你_.txt
[20:17:10] [9/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\17.约会基本流程_.mov
[20:17:33]     完成（用时 22s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\17.约会基本流程_.txt
[20:17:33] [10/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\2.打造让女人爱上你的人设_.mp4
[20:18:17]     完成（用时 44s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\2.打造让女人爱上你的人设_.txt
[20:18:17] [11/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\3.内核建设，打开吸引开关_.mp4
[20:18:46]     完成（用时 29s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\3.内核建设，打开吸引开关_.txt
[20:18:46] [12/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\4.搭讪焦虑破解之道_.mp4
[20:19:16]     完成（用时 30s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\4.搭讪焦虑破解之道_.txt
[20:19:16] [13/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\5.实战前的规划_.mov
[20:19:35]     完成（用时 19s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\5.实战前的规划_.txt
[21:51:19]     完成（用时 22s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\69.优质第一印象打造手册.txt
[21:51:19] [249/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\70.你距离魅力的距离就差这一点.mp3
[21:51:38]     完成（用时 19s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\70.你距离魅力的距离就差这一点.txt
[21:51:38] [250/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\71.魅力男声修炼手册.mp3
[21:52:08]     完成（用时 30s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\71.魅力男声修炼手册.txt
[21:52:08] [251/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\72.从进化的角度来看待男女吸引.mp3
[21:52:35]     完成（用时 26s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\72.从进化的角度来看待男女吸引.txt
[21:52:35] [252/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\73.社交圈对于男女交往意味着什么.mp3
[21:52:56]     完成（用时 21s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\73.社交圈对于男女交往意味着什么.txt
[21:52:56] [253/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\74.解锁情绪密码.mp3
[21:53:25]     完成（用时 30s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\74.解锁情绪密码.txt
[21:53:25] [254/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\75.你一定没试过，用低情绪回应展示高价值.mp3
[21:53:44]     完成（用时 19s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\75.你一定没试过，用低情绪回应展示高价值.txt
[21:53:44] [255/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\76.这才是爱情的根基.mp3
[21:54:03]     完成（用时 18s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\76.这才是爱情的根基.txt
[21:54:03] [256/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\77.如何把自己修炼成一个招女人喜欢的戏精.mp3
[21:54:32]     完成（用时 30s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\77.如何把自己修炼成一个招女人喜欢的戏精.txt
[21:54:32] [257/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\78.巧用社交证明才能更好地吸引她.mp3
[21:54:59]     完成（用时 27s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\78.巧用社交证明才能更好地吸引她.txt
[21:54:59] [258/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\79.场景化共振与情绪化共振.mp3
[21:55:22]     完成（用时 23s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\79.场景化共振与情绪化共振.txt
[21:55:22] [259/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\80.从多维度接入她的内心.mp3
[21:55:45]     完成（用时 23s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\80.从多维度接入她的内心.txt
[21:55:45] [260/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\81.找到你的魅力存在.mp3
[21:56:06]     完成（用时 21s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\81.找到你的魅力存在.txt
[21:56:06] [261/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\82.其实你魅力值爆棚，只是你不知道要这样表达.mp3
[21:56:24]     完成（用时 18s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\82.其实你魅力值爆棚，只是你不知道要这样表达.txt
[21:56:24] [262/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\83.学会这一招，你就是她口中的聪明男人合.mp3
[21:56:44]     完成（用时 20s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\83.学会这一招，你就是她口中的聪明男人合.txt
[21:56:44] [263/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\84.撩拨她情绪的超实用模板.mp3
[21:57:00]     完成（用时 16s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\84.撩拨她情绪的超实用模板.txt
[21:57:00] [264/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\85.养成这种说话习惯，做一个活好还不粘人的男人.mp3
[21:57:15]     完成（用时 15s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\85.养成这种说话习惯，做一个活好还不粘人的男人.txt
[21:57:15] [265/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\86.打开她的吸引力开关重要的是这几个点.mp3
[21:57:52]     完成（用时 37s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\86.打开她的吸引力开关重要的是这几个点.txt
[21:57:52] [266/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\87.不走出这个误区你永远交不到.mp3
[21:58:13]     完成（用时 22s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\87.不走出这个误区你永远交不到.txt
[21:58:13] [267/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\88.这些行为泄露的秘密让女生觉.mp3
[21:58:32]     完成（用时 19s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\88.这些行为泄露的秘密让女生觉.txt
[21:58:32] [268/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\89.暖昧的五种基本套路.mp3
[21:59:02]     完成（用时 30s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\89.暖昧的五种基本套路.txt
[21:59:02] [269/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\90.这种过山车最适合跟她一起坐.mp3
[21:59:19]     完成（用时 17s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\90.这种过山车最适合跟她一起坐.txt
[21:59:19] [270/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\91.教你用最少的话唤醒她的表达.mp3
[21:59:36]     完成（用时 16s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\91.教你用最少的话唤醒她的表达.txt
[21:59:36] [271/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\92.说错话也可以让妹子更喜欢.mp3
[21:59:52]     完成（用时 16s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\92.说错话也可以让妹子更喜欢.txt
[21:59:52] [272/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\93.让她愉快地进入你聊天的圈套.mp3
[22:00:13]     完成（用时 22s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\93.让她愉快地进入你聊天的圈套.txt
[22:00:13] [273/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\94.两个超级实用的撩妹惯例A.mp3
[22:00:23]     完成（用时 10s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\94.两个超级实用的撩妹惯例A.txt
[22:00:23] [274/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\95.从实践中得到的搭山经验才比较6.mp3
[22:00:48]     完成（用时 25s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\95.从实践中得到的搭山经验才比较6.txt
[22:00:48] [275/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\96.她不理你了？教你两种炫酷的挽回姿势！.mp3
[22:01:06]     完成（用时 18s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\96.她不理你了？教你两种炫酷的挽回姿势！.txt
[22:01:06] [276/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\97.男人这样的诚实，女人都超级.mp3
[22:01:23]     完成（用时 17s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\97.男人这样的诚实，女人都超级.txt
[22:01:23] [277/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\98.让自己永远不会难受的第一法.mp3
[22:01:37]     完成（用时 14s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\98.让自己永远不会难受的第一法.txt
[22:01:37] [278/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\99.这两个话题冬天不聊就没机会.mp3
[22:01:51]     完成（用时 15s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\99.这两个话题冬天不聊就没机会.txt
[22:01:51] [279/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\夏洛强势回归，首战给兄弟们最强撩妹技.mp4
[22:03:29]     完成（用时 98s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\夏洛强势回归，首战给兄弟们最强撩妹技.txt
[22:03:29] [280/499] 转录中: 找老婆教程\微信聊天宝典，微信聊天撩妹秘笈（完结）\01 微信聊天的特性.mp3
[22:03:50]     完成（用时 20s）-> 转录文本\找老婆教程\微信聊天宝典，微信聊天撩妹秘笈（完结）\01 微信聊天的特性.txt
[22:03:50] [281/499] 转录中: 找老婆教程\微信聊天宝典，微信聊天撩妹秘笈（完结）\02 微信聊天的基本流程.mp3
[22:04:22]     完成（用时 33s）-> 转录文本\找老婆教程\微信聊天宝典，微信聊天撩妹秘笈（完结）\02 微信聊天的基本流程.txt
[22:04:22] [282/499] 转录中: 找老婆教程\微信聊天宝典，微信聊天撩妹秘笈（完结）\03 微信聊天前的准备.mp3
[22:04:49]     完成（用时 26s）-> 转录文本\找老婆教程\微信聊天宝典，微信聊天撩妹秘笈（完结）\03 微信聊天前的准备.txt
[22:04:49] [283/499] 转录中: 找老婆教程\微信聊天宝典，微信聊天撩妹秘笈（完结）\04 聊天前就要吸引女生：朋友圈的建设.mp3
[22:05:39]     完成（用时 51s）-> 转录文本\找老婆教程\微信聊天宝典，微信聊天撩妹秘笈（完结）\04 聊天前就要吸引女生：朋友圈的建设.txt
[22:05:39] [284/499] 转录中: 找老婆教程\微信聊天宝典，微信聊天撩妹秘笈（完结）\05 聊天前期破冰——让女生自然的谈话.mp3
[22:06:20]     完成（用时 40s）-> 转录文本\找老婆教程\微信聊天宝典，微信聊天撩妹秘笈（完结）\05 聊天前期破冰——让女生自然的谈话.txt
[22:06:20] [285/499] 转录中: 找老婆教程\微信聊天宝典，微信聊天撩妹秘笈（完结）\06 怎么聊微信才能让她喜欢你.mp3
[22:07:03]     完成（用时 43s）-> 转录文本\找老婆教程\微信聊天宝典，微信聊天撩妹秘笈（完结）\06 怎么聊微信才能让她喜欢你.txt
[22:07:03] [286/499] 转录中: 找老婆教程\微信聊天宝典，微信聊天撩妹秘笈（完结）\07 聊天话题选择.mp3
[22:07:44]     完成（用时 41s）-> 转录文本\找老婆教程\微信聊天宝典，微信聊天撩妹秘笈（完结）\07 聊天话题选择.txt
[22:07:44] [287/499] 转录中: 找老婆教程\微信聊天宝典，微信聊天撩妹秘笈（完结）\08 调动女生的情绪.mp3
[22:08:14]     完成（用时 30s）-> 转录文本\找老婆教程\微信聊天宝典，微信聊天撩妹秘笈（完结）\08 调动女生的情绪.txt
[22:08:14] [288/499] 转录中: 找老婆教程\微信聊天宝典，微信聊天撩妹秘笈（完结）\09 在聊天中升级关系.mp3
[22:08:48]     完成（用时 34s）-> 转录文本\找老婆教程\微信聊天宝典，微信聊天撩妹秘笈（完结）\09 在聊天中升级关系.txt
[22:08:48] [289/499] 转录中: 找老婆教程\微信聊天宝典，微信聊天撩妹秘笈（完结）\10 邀约女生.mp3
[22:09:27]     完成（用时 39s）-> 转录文本\找老婆教程\微信聊天宝典，微信聊天撩妹秘笈（完结）\10 邀约女生.txt
[22:09:27] [290/499] 转录中: 找老婆教程\微信聊天宝典，微信聊天撩妹秘笈（完结）\11 微信聊天的注意事项.mp3
[22:10:01]     完成（用时 34s）-> 转录文本\找老婆教程\微信聊天宝典，微信聊天撩妹秘笈（完结）\11 微信聊天的注意事项.txt
[22:10:01] [291/499] 转录中: 找老婆教程\微信聊天宝典，微信聊天撩妹秘笈（完结）\12 快速升级关系邀约案例.mp3
[22:10:30]     完成（用时 29s）-> 转录文本\找老婆教程\微信聊天宝典，微信聊天撩妹秘笈（完结）\12 快速升级关系邀约案例.txt
[22:10:30] [292/499] 转录中: 找老婆教程\微信聊天宝典，微信聊天撩妹秘笈（完结）\13 聊天升高关系案例.mp3
[22:10:58]     完成（用时 29s）-> 转录文本\找老婆教程\微信聊天宝典，微信聊天撩妹秘笈（完结）\13 聊天升高关系案例.txt
[22:10:58] [293/499] 转录中: 找老婆教程\微信聊天宝典，微信聊天撩妹秘笈（完结）\14 从聊天到见面完整邀约案例.mp3
[22:11:43]     完成（用时 45s）-> 转录文本\找老婆教程\微信聊天宝典，微信聊天撩妹秘笈（完结）\14 从聊天到见面完整邀约案例.txt
[22:11:43] [294/499] 转录中: 找老婆教程\微信聊天宝典，微信聊天撩妹秘笈（完结）\15 抓住机会窗口完整邀约案例.mp3
[22:12:17]     完成（用时 34s）-> 转录文本\找老婆教程\微信聊天宝典，微信聊天撩妹秘笈（完结）\15 抓住机会窗口完整邀约案例.txt
[22:12:17] [295/499] 转录中: 找老婆教程\微信聊天宝典，微信聊天撩妹秘笈（完结）\【发刊词】学会聊天，才能约到女神.mp3
[22:12:34]     完成（用时 17s）-> 转录文本\找老婆教程\微信聊天宝典，微信聊天撩妹秘笈（完结）\【发刊词】学会聊天，才能约到女神.txt
[22:12:34] [296/499] 转录中: 找老婆教程\把妹技能教程：《手把手教你和妹子聊天》【珍藏】\36节课带你变身聊天达人\【基础篇】不回信息怎么处理.mp4
[22:12:51]     完成（用时 17s）-> 转录文本\找老婆教程\把妹技能教程：《手把手教你和妹子聊天》【珍藏】\36节课带你变身聊天达人\【基础篇】不回信息怎么处理.txt
[22:12:51] [297/499] 转录中: 找老婆教程\把妹技能教程：《手把手教你和妹子聊天》【珍藏】\36节课带你变身聊天达人\【基础篇】为什么要做好朋友圈建设.mp4
[22:13:18]     完成（用时 27s）-> 转录文本\找老婆教程\把妹技能教程：《手把手教你和妹子聊天》【珍藏】\36节课带你变身聊天达人\【基础篇】为什么要做好朋友圈建设.txt
[22:13:18] [298/499] 转录中: 找老婆教程\把妹技能教程：《手把手教你和妹子聊天》【珍藏】\36节课带你变身聊天达人\【基础篇】如何打造一个好的展示面.mp4
[22:13:37]     完成（用时 19s）-> 转录文本\找老婆教程\把妹技能教程：《手把手教你和妹子聊天》【珍藏】\36节课带你变身聊天达人\【基础篇】如何打造一个好的展示面.txt
[22:13:37] [299/499] 转录中: 找老婆教程\把妹技能教程：《手把手教你和妹子聊天》【珍藏】\36节课带你变身聊天达人\【基础篇】微信互动的基本规则.mp4
[22:13:55]     完成（用时 18s）-> 转录文本\找老婆教程\把妹技能教程：《手把手教你和妹子聊天》【珍藏】\36节课带你变身聊天达人\【基础篇】微信互动的基本规则.txt
[22:13:55] [300/499] 转录中: 找老婆教程\把妹技能教程：《手把手教你和妹子聊天》【珍藏】\36节课带你变身聊天达人\【基础篇】微信聊天心态.mp4
[22:14:16]     完成（用时 21s）-> 转录文本\找老婆教程\把妹技能教程：《手把手教你和妹子聊天》【珍藏】\36节课带你变身聊天达人\【基础篇】微信聊天心态.txt
[22:14:16] [301/499] 转录中: 找老婆教程\把妹技能教程：《手把手教你和妹子聊天》【珍藏】\36节课带你变身聊天达人\【基础篇】微信聊天禁忌.mp4
[22:14:20]     完成（用时 5s）-> 转录文本\找老婆教程\把妹技能教程：《手把手教你和妹子聊天》【珍藏】\36节课带你变身聊天达人\【基础篇】微信聊天禁忌.txt
[22:14:20] [302/499] 转录中: 找老婆教程\把妹技能教程：《手把手教你和妹子聊天》【珍藏】\36节课带你变身聊天达人\【基础篇】解读女生的兴趣度.mp4
[22:14:27]     完成（用时 7s）-> 转录文本\找老婆教程\把妹技能教程：《手把手教你和妹子聊天》【珍藏】\36节课带你变身聊天达人\【基础篇】解读女生的兴趣度.txt
[22:14:27] [303/499] 转录中: 找老婆教程\把妹技能教程：《手把手教你和妹子聊天》【珍藏】\36节课带你变身聊天达人\【基础篇】避免信息产生误会.mp4
[22:14:39]     完成（用时 12s）-> 转录文本\找老婆教程\把妹技能教程：《手把手教你和妹子聊天》【珍藏】\36节课带你变身聊天达人\【基础篇】避免信息产生误会.txt
[22:14:39] [304/499] 转录中: 找老婆教程\把妹技能教程：《手把手教你和妹子聊天》【珍藏】\36节课带你变身聊天达人\【实战篇】初始部分聊天.mp4
[22:14:52]     完成（用时 13s）-> 转录文本\找老婆教程\把妹技能教程：《手把手教你和妹子聊天》【珍藏】\36节课带你变身聊天达人\【实战篇】初始部分聊天.txt
[22:14:52] [305/499] 转录中: 找老婆教程\把妹技能教程：《手把手教你和妹子聊天》【珍藏】\36节课带你变身聊天达人\【实战篇】在微信中升级关系.mp4
[22:15:09]     完成（用时 17s）-> 转录文本\找老婆教程\把妹技能教程：《手把手教你和妹子聊天》【珍藏】\36节课带你变身聊天达人\【实战篇】在微信中升级关系.txt
[22:15:09] [306/499] 转录中: 找老婆教程\把妹技能教程：《手把手教你和妹子聊天》【珍藏】\36节课带你变身聊天达人\【实战篇】如何微信邀约.mp4
[22:15:35]     完成（用时 26s）-> 转录文本\找老婆教程\把妹技能教程：《手把手教你和妹子聊天》【珍藏】\36节课带你变身聊天达人\【实战篇】如何微信邀约.txt
[22:15:35] [307/499] 转录中: 找老婆教程\把妹技能教程：《手把手教你和妹子聊天》【珍藏】\36节课带你变身聊天达人\【实战篇】如何提升邀约的成功率.mp4
[22:15:45]     完成（用时 10s）-> 转录文本\找老婆教程\把妹技能教程：《手把手教你和妹子聊天》【珍藏】\36节课带你变身聊天达人\【实战篇】如何提升邀约的成功率.txt
[22:15:45] [308/499] 转录中: 找老婆教程\把妹技能教程：《手把手教你和妹子聊天》【珍藏】\36节课带你变身聊天达人\【实战篇】微信聊天展示高价值.mp4
[22:15:58]     完成（用时 13s）-> 转录文本\找老婆教程\把妹技能教程：《手把手教你和妹子聊天》【珍藏】\36节课带你变身聊天达人\【实战篇】微信聊天展示高价值.txt
[22:15:58] [309/499] 转录中: 找老婆教程\把妹技能教程：《手把手教你和妹子聊天》【珍藏】\36节课带你变身聊天达人\【实战篇】微信聊天节奏.mp4
[22:16:12]     完成（用时 14s）-> 转录文本\找老婆教程\把妹技能教程：《手把手教你和妹子聊天》【珍藏】\36节课带你变身聊天达人\【实战篇】微信聊天节奏.txt
[22:16:12] [310/499] 转录中: 找老婆教程\把妹技能教程：《手把手教你和妹子聊天》【珍藏】\36节课带你变身聊天达人\【实战篇】怎么通过微信快速邀约.mp4
[22:16:25]     完成（用时 13s）-> 转录文本\找老婆教程\把妹技能教程：《手把手教你和妹子聊天》【珍藏】\36节课带你变身聊天达人\【实战篇】怎么通过微信快速邀约.txt
[22:16:25] [311/499] 转录中: 找老婆教程\把妹技能教程：《手把手教你和妹子聊天》【珍藏】\36节课带你变身聊天达人\【实战篇】第一条微信怎么发.mp4
[22:16:39]     完成（用时 14s）-> 转录文本\找老婆教程\把妹技能教程：《手把手教你和妹子聊天》【珍藏】\36节课带你变身聊天达人\【实战篇】第一条微信怎么发.txt
[22:16:39] [312/499] 转录中: 找老婆教程\把妹技能教程：《手把手教你和妹子聊天》【珍藏】\36节课带你变身聊天达人\【实战篇】迅速拉近心理距离.mp4
[22:16:53]     完成（用时 14s）-> 转录文本\找老婆教程\把妹技能教程：《手把手教你和妹子聊天》【珍藏】\36节课带你变身聊天达人\【实战篇】迅速拉近心理距离.txt
[22:16:53] [313/499] 转录中: 找老婆教程\把妹技能教程：《手把手教你和妹子聊天》【珍藏】\36节课带你变身聊天达人\【实战篇】邀约前的铺垫.mp4
[22:17:06]     完成（用时 14s）-> 转录文本\找老婆教程\把妹技能教程：《手把手教你和妹子聊天》【珍藏】\36节课带你变身聊天达人\【实战篇】邀约前的铺垫.txt
[22:17:06] [314/499] 转录中: 找老婆教程\把妹技能教程：《手把手教你和妹子聊天》【珍藏】\36节课带你变身聊天达人\【技巧篇】一个惯例.mp4
[22:17:11]     完成（用时 5s）-> 转录文本\找老婆教程\把妹技能教程：《手把手教你和妹子聊天》【珍藏】\36节课带你变身聊天达人\【技巧篇】一个惯例.txt
[22:17:11] [315/499] 转录中: 找老婆教程\把妹技能教程：《手把手教你和妹子聊天》【珍藏】\36节课带你变身聊天达人\【技巧篇】冷读使用方法.mp4
